drug_id,canonical_name,available
85,mitapivat,N
302,mitomycin-c,N
303,mitoxantrone hcl,N
304,mobocertinib,N
305,modafinil,N
62,momelotinib dihydrochloride monohydrate,N
306,monooctanoin,N
307,morphine concentrate,Y
308,moxidectin,N
309,naltrexone hcl,N
310,nelarabine,N
311,nerandomilast,N
312,nifurtimox,Y
313,nilotinib,N
314,nimodipine,N
315,nintedanib,N
40,niraparib,N
45,nirogacestat hydrobromide,N
316,nitazoxanide,N
317,nitisinone,N
318,nitric oxide,N
376,nitrite and thiosulfate,N
57,odevixibat,N
319,ofloxacin,Y
320,olaparib,N
321,olutasidenib,N
322,omacetaxine mepesuccinate,N
6,omaveloxolone,N
71,osilodrostat,N
323,osimertinib,N
377,oxybate,N
324,paclitaxel,N
325,pacritinib,N
80,palovarotene,N
12,paltusotine,N
326,panobinostat,N
327,paricalcitol,Y
328,pazopanib,N
329,pegvaliase-pqpz,N
330,pemetrexed disodium,N
5,pemigatinib,N
331,pentamidine isethionate,Y
332,pentastarch,N
333,pentosan polysulfate,N
334,pentostatin for injection,N
88,pexidartinib,N
335,phenobarbital,Y
378,phenylbutyrate and taurursodiol,N
336,phoxillum,N
337,pilocarpine hcl,Y
338,pirfenidone,N
339,pirtobrutinib,N
48,pitolisant,N
340,plerixafor,N
341,polifeprosan 20 with carmustine,N
73,polihexanide,N
342,pomalidomide,N
343,ponatinib,N
344,porfimer,N
345,posaconazole,N
346,potassium iodide oral solution,N
96,pralatrexate,N
347,pralsetinib,N
16,pretomanid,Y
31,pridopidine,N
348,propranolol,Y
349,quinine,Y
350,quizartinib,N
351,raloxifene,Y
352,regorafenib,N
353,repotrectinib,N
59,resminostat mesilate,N
354,revumenib,N
355,ribavirin,Y
356,riboflavin ophthalmic solution & ultraviolet a,N
357,rifabutin,Y
358,rifampin,N
359,rifampin + isoniazid + pyrazinamide,N
360,rifapentine,Y
361,rifaximin,N
362,riluzole,Y
32,rilzabrutinib,N
363,riociguat,N
19,ripretinib,N
364,risdiplam,Y
95,romidepsin,N
365,rosuvastatin,N
101,rubitecan,N
366,rucaparib,N
367,rufinamide,N
368,ruxolitinib,N
369,sapropterin,Y
44,sebetralstat,N
15,seladelpar lysine dihydrate,N
370,selegiline hcl,Y
371,selexipag,Y
372,selinexor,N
373,selpercatinib,N
22,selumetinib,N
17,sepiapterin,N
374,sevabertinib,N
375,sildenafil,Y
58,sirolimus,Y
380,sofosbuvir,Y
381,solriamfetol,N
382,sorafenib,N
383,sotalol hcl,N
384,sotorasib,N
38,sparsentan,N
385,sterile talc powder,N
386,stiripentol,N
387,succimer,N
388,sulfadiazine,Y
389,tacrolimus extended-release capsules,Y
390,tadalafil,N
46,tafamidis,Y
391,tafamidis meglumine,Y
392,tafenoquine,Y
393,taletrectinib,N
394,tasimelteon,N
395,tazemetostat,N
396,tecovirimat,N
36,telotristat etiprate,N
397,temozolomide,N
398,teniposide,N
399,tenofovir,Y
400,tepotinib,N
401,tetrabenazine,N
279,tezacaftor;ivacaftor,Y
402,thalidomide,Y
379,thiosulfate,N
403,thiotepa,N
404,tinidazole,N
405,tiopronin,N
64,tiratricol,N
406,tobramycin for inhalation,Y
407,tolvaptan,N
408,topiramate,Y
409,toremifene,N
11,tovorafenib,N
410,trabectedin,N
411,trametinib and dabrafenib,N
42,trametinib dimethyl sulfoxide,N
412,treosulfan,N
413,treprostinil inhalation powder,N
414,triclabendazole,N
415,trientine hcl,Y
416,trifluridine/tipiracil,N
417,triheptanoin,N
418,trimetrexate glucuronate,N
4,trofinetide,N
419,trypan blue,N
420,tucatinib,N
421,umbralisib,N
422,upadacitinib,Y
423,uridine triacetate,N
424,urofollitropin,N
425,ursodiol,N
426,valbenazine,N
427,valrubicin,N
24,vamorolone,N
428,vandetanib,N
429,vanzacaftor + tezacaftor + and deutivacaftor,N
7,velmanase alfa,N
430,vemurafenib,N
431,venetoclax,N
432,vigabatrin,Y
18,vimseltinib dihydrate,N
433,vincristine liposome injection,N
2,vorasidenib,N
434,vorinostat,N
75,voxelotor,N
435,zanubrutinib,N
436,zidovudine,Y
437,ziftomenib,N
438,zinc,Y
439,zoledronate,Y
